name,hash,cityofberkeley_amount,ucberkeley_amount,both_amount,committee_name
finance/Democrat/Jake Auchincloss,9a5a211,3000.0,0.0,0.0,JAKE AUCHINCLOSS FOR CONGRESS
finance/Democrat/Darializa Avila Chevalier,d12e142,3700.0,0.0,0.0,DARIALIZA FOR CONGRESS
finance/Democrat/Lauren Babb Tomlinson,bc4cba1,7225.0,250.0,0.0,LBT FOR CONGRESS
finance/Democrat/Jasmeet Bains,e44bfde,10350.0,0.0,0.0,DR. JASMEET BAINS FOR CONGRESS
finance/Democrat/Joseph Baldacci,aeea3c6,700.0,0.0,0.0,JOE BALDACCI FOR CONGRESS
finance/Democrat/Tammy Baldwin,6074dd9,365.0,0.0,0.0,TAMMY BALDWIN FOR SENATE
finance/Democrat/Rebecca 'Becca' Balint,5fe1004,750.0,0.0,0.0,BECCA BALINT FOR VERMONT
finance/Democrat/John Bartlett,83e9b72,0.0,1000.0,0.0,JOHN BARTLETT FOR CONGRESS
finance/Democrat/John Beccia,fcf5643,1500.0,0.0,0.0,JOHN BECCIA FOR CONGRESS
finance/Democrat/Zach Beecher,ba25411,500.0,0.0,0.0,ZACH BEECHER FOR CONGRESS
finance/Democrat/Elizabeth Dempsey Beggs,e3f5db1,450.0,0.0,0.0,ELIZABETH FOR VIRGINIA
finance/Democrat/Wesley Bell,e826c09,500.0,1000.0,0.0,BELL FOR MISSOURI
finance/Democrat/Christopher Jerman Bennett,647963a,3500.0,0.0,0.0,FRIENDS OF CHRIS BENNETT
finance/Democrat/Rebecca Bennett,98c878f,13332.95,0.0,0.0,REBECCA BENNETT FOR CONGRESS
finance/Democrat/Amerish Bera,6f88946,3500.0,4500.0,0.0,BERA FOR CONGRESS
finance/Democrat/Kaela Jo Berg,ea9a41c,3500.0,0.0,0.0,KAELA FOR CONGRESS
finance/Democrat/Donald Sternoff Beyer Jr.,a6191bc,20000.0,0.0,0.0,FRIENDS OF DON BEYER
finance/Democrat/Shannon Kathleen Bird,7d5a4de,1500.0,0.0,0.0,SHANNON BIRD FOR CONGRESS
finance/Democrat/Daniel Biss,4db63f1,2500.0,0.0,0.0,BISS FOR CONGRESS
finance/Democrat/Nate Blouin,3466151,250.0,0.0,0.0,NATE BLOUIN FOR UTAH
finance/Democrat/Lisa Blunt Rochester,0c5146d,500.0,0.0,0.0,LISA BLUNT ROCHESTER FOR SENATE
finance/Democrat/Christina Bohannan,06792df,24544.48,0.0,0.0,CHRISTINA BOHANNAN FOR CONGRESS
finance/Democrat/Charles Booker,e559883,575.0,0.0,0.0,BOOKER FOR THE COMMONWEALTH
finance/Democrat/Cory A. Booker,90290ac,10512.0,0.0,0.0,CORY BOOKER FOR SENATE
finance/Democrat/Alexander Bores,bd0713d,406655.0,7373.33,7000.0,ALEX BORES FOR NY
finance/Democrat/Karen Breslin,95dbda4,150.0,0.0,0.0,BRESLIN FOR US SENATE
finance/Democrat/Bridget Brink,b0d4a84,8260.0,0.0,0.0,BRINK FOR CONGRESS
finance/Democrat/Luke Bronin,940e7fd,250.0,0.0,0.0,LUKE BRONIN FOR CONGRESS
finance/Democrat/Bob Brooks,a9d9627,8545.46,0.0,0.0,BOB BROOKS FOR CONGRESS
finance/Democrat/Sherrod Brown,0c27d5a,95303.83,6250.0,1250.0,FRIENDS OF SHERROD BROWN
finance/Democrat/Julia Brownley,767489b,500.0,0.0,0.0,JULIA BROWNLEY FOR CONGRESS
finance/Democrat/Nikki Budzinski,b909d43,4500.0,0.0,0.0,NIKKI FOR CONGRESS
finance/Democrat/Kristi Burke,89c504e,150.0,0.0,0.0,KRISTI FOR CONGRESS
finance/Democrat/Cori Bush,a512384,7350.0,0.0,1150.0,CORI FOR US
finance/Democrat/Janelle Bynum,4b8a929,9871.43,200.0,0.0,JANELLE BYNUM FOR CONGRESS
finance/Democrat/Trisha Calvarese,983f993,1175.0,0.0,0.0,DRAGON PAC
finance/Democrat/Ammar Campa-Najjar,76a58f7,1170.0,0.0,0.0,AMMAR FOR CONGRESS
finance/Democrat/Nicolas Carjuzaa,a31f7ee,500.0,0.0,0.0,CARJUZAA FOR CONGRESS
finance/Democrat/Greg Casar,bd3d6fe,1475.0,0.0,0.0,GREG CASAR FOR CONGRESS
finance/Democrat/Sean Casten,9cd7a4f,250.0,0.0,0.0,CASTEN FOR CONGRESS
finance/Democrat/Kathy Castor,5b6601f,1666.65,0.0,0.0,CASTOR FOR CONGRESS
finance/Democrat/Mr. Jean-Louis Cauvin,6b1a1d8,261.0,0.0,0.0,JL FOR NJ 2026
finance/Democrat/John Cavanaugh,812256a,800.0,0.0,0.0,JOHN CAVANAUGH FOR CONGRESS
finance/Democrat/Morgan Cephas,686d71c,250.0,0.0,0.0,MORGAN FOR PHILLY
finance/Democrat/Connie Chan,24f98a7,18589.49,0.0,0.0,CONNIE CHAN FOR CONGRESS
finance/Democrat/Doug Chapin,1bc4453,225.0,0.0,0.0,DOUG CHAPIN FOR CONGRESS
finance/Democrat/Abel Chavez,106ed32,500.0,0.0,0.0,ABEL CHAVEZ FOR CONGRESS
finance/Democrat/Michael Alexis Chiaradio,0edec3c,500.0,0.0,0.0,"MICHAEL A. CHIARADIO FOR CONGRESS 2026, INC."
finance/Democrat/Eric Chung,a81a2a7,5455.0,0.0,700.0,ERIC CHUNG FOR MICHIGAN
finance/Democrat/Gilbert Cisneros,93c361e,250.0,0.0,0.0,CISNEROS FOR CONGRESS
finance/Democrat/Jasmine Clark,e431f91,1550.0,0.0,0.0,JASMINE CLARK FOR GEORGIA
finance/Democrat/Russell Tyler Cleveland,615a607,250.0,0.0,0.0,CLEVELAND FOR CONGRESS
finance/Democrat/Paige Cognetti,d93dfc8,24290.6,1000.0,0.0,PAIGE FOR PA
finance/Democrat/Jeff Cohen,8e58bb3,0.0,250.0,0.0,JEFF COHEN FOR CONGRESS
finance/Democrat/Scott Colom,cedad96,7250.0,0.0,0.0,SCOTT COLOM FOR SENATE
finance/Democrat/Cait Conley,3b3ef25,11645.45,300.0,0.0,CAIT FOR NEW YORK
finance/Democrat/George Conway,1e3a1c7,2429.0,0.0,0.0,GEORGE CONWAY FOR CONGRESS
finance/Democrat/Rebecca Cooke,3cfd72b,29778.34,0.0,0.0,COOKE FOR CONGRESS
finance/Democrat/Joseph Patrick Cooney,96bcc1a,1300.0,0.0,0.0,COONEY FOR CONGRESS
finance/Democrat/Christopher A. Coons,85541a2,7000.0,0.0,0.0,CHRIS COONS FOR DELAWARE
finance/Democrat/Roy Cooper,acaaaa3,16457.5,1000.0,0.0,COOPER FOR NORTH CAROLINA
finance/Democrat/Darden Hunter Copeland,f82a7bd,1125.0,0.0,0.0,DARDEN COPELAND FOR CONGRESS
finance/Democrat/Catherine Cortez Masto,5d978e3,244.0,2.5,0.0,CATHERINE CORTEZ MASTO FOR SENATE
finance/Democrat/Joseph Courtney,7d85745,500.0,0.0,0.0,COURTNEY FOR CONGRESS
finance/Democrat/Angie Craig,9f56595,9550.0,0.0,0.0,ANGIE CRAIG FOR MINNESOTA
finance/Democrat/Jasmine Crockett,fcbe149,5342.5,950.0,0.0,JASMINE FOR TEXAS
finance/Democrat/Jasmine Crockett,fcbe149,2180.0,0.0,0.0,JASMINE FOR US
finance/Democrat/Cammie L Croft,20cf0aa,4500.0,0.0,0.0,CAMMIE FOR CONGRESS
finance/Democrat/Ryan Crosswell,1d84a1e,750.0,0.0,0.0,CROSSWELL FOR CONGRESS
finance/Democrat/Jason Crow,a7c7cb9,2550.0,0.0,0.0,JASON CROW FOR CONGRESS
finance/Democrat/Bale Dalton,88cb465,1700.0,0.0,0.0,DALTON FOR FLORIDA
finance/Democrat/Pia Dandiya,2ecaa44,750.0,0.0,0.0,PIA DANDIYA FOR CONGRESS
finance/Democrat/Sharice Davids,4ae30fb,3805.0,0.0,75.0,SHARICE FOR CONGRESS
finance/Democrat/Beth Davidson,f725b22,1250.0,0.0,0.0,BETH DAVIDSON FOR CONGRESS
finance/Democrat/Christy Davis,3d13680,500.0,0.0,0.0,CHRISTY DAVIS FOR KANSAS 2026
finance/Democrat/Don Davis,e8865d1,10650.0,250.0,0.0,DON DAVIS FOR NC
finance/Democrat/Jamie Davis,b30be76,500.0,0.0,18.0,JAMIE DAVIS FOR U.S. SENATE
finance/Democrat/Hector De La Torre,ecf27c2,4750.0,0.0,0.0,DE LA TORRE FOR CONGRESS
finance/Democrat/Jonathan Dean,20aa6f9,110.0,0.0,0.0,DEAN FOR ILLINOIS
finance/Democrat/Ms. Jamee Decio,9807907,250.0,0.0,0.0,JAMEE DECIO CONGRESSIONAL CAMPAIGN COMMITTEE
finance/Democrat/Suzan K Delbene,a54c5ed,27.0,0.0,0.0,DELBENE FOR CONGRESS
finance/Democrat/Christopher Deluzio,454a177,1660.0,0.0,0.0,CHRIS DELUZIO FOR CONGRESS
finance/Democrat/Audrey Denney,78ce990,7350.0,1500.0,0.0,DENNEY FOR CONGRESS
finance/Democrat/Mark Desaulnier,44ce4a5,4750.0,0.0,0.0,MARK DESAULNIER FOR CONGRESS
finance/Democrat/Anuj Dixit,771d48b,1750.0,0.0,0.0,ANUJ DIXIT FOR CONGRESS
finance/Democrat/L. Tammy Duckworth,851301e,1205.0,0.0,0.0,TAMMY FOR ILLINOIS
finance/Democrat/Matt Dunlap,4cbdaa0,500.0,0.0,0.0,DUNLAP FOR CONGRESS
finance/Democrat/Harry Dunn,91e1638,1094.0,0.0,0.0,HARRY DUNN FOR MARYLAND
finance/Democrat/Amanda Edwards,c04eaf7,250.0,0.0,0.0,AMANDA EDWARDS FOR CONGRESS
finance/Democrat/Abdul El-Sayed,adadf88,19839.27,0.0,120.0,ABDUL FOR U.S. SENATE
finance/Democrat/Michael Farrell,eaea397,45.0,0.0,0.0,MICHAEL FARRELL FOR UTAH
finance/Democrat/John Karl Fetterman,17cf523,797.5,0.0,0.0,FETTERMAN FOR PA
finance/Democrat/Dr. Thomas Fisher,036baf0,500.0,0.0,0.0,THOMAS FISHER FOR CONGRESS
finance/Democrat/Margaret Flanagan,08106b3,9737.0,1000.0,0.0,PEGGY FLANAGAN FOR MINNESOTA
finance/Democrat/Jami Floyd,ba1772e,16000.0,850.0,0.0,JAMI FLOYD FOR CONGRESS
finance/Democrat/Earle Ford,a60ddc5,100.0,0.0,0.0,EARLE FORD FOR CONGRESS
finance/Democrat/Samuel Kelley Forstag,e9af608,13712.5,0.0,0.0,SAM FOR MONTANA
finance/Democrat/G. William (Bill) Foster,a812ea8,8550.0,5050.0,420.0,BILL FOSTER FOR CONGRESS
finance/Democrat/Maxwell Alejandro Frost,d062e89,650.0,0.0,0.0,MAXWELL ALEJANDRO FROST FOR CONGRESS
finance/Democrat/Marlene Galan-Woods,111f82e,1050.0,0.0,0.0,MARLENE FOR CONGRESS 2026
finance/Democrat/Christopher Gallant,4d0b1cf,250.0,0.0,0.0,GALLANT FOR CONGRESS
finance/Democrat/Ruben Gallego,6e1bb4f,3150.0,0.0,0.0,GALLEGO FOR ARIZONA
finance/Democrat/John Garamendi,9eda34d,1000.0,0.0,0.0,GARAMENDI FOR CONGRESS
finance/Democrat/Robert Garcia,e19aadb,1211.0,1000.0,0.0,ROBERT GARCIA FOR CONGRESS
finance/Democrat/Blake Gendebien,49cc300,623.0,0.0,0.0,BLAKE FOR THE NORTH COUNTRY
finance/Democrat/Laura Gillen,916aa6e,1271.42,250.0,0.0,GILLEN FOR NY
finance/Democrat/Kirsten Gillibrand,1bbe9dc,350.0,0.0,0.0,GILLIBRAND FOR SENATE
finance/Democrat/Marie Gluesenkamp Perez,f78a198,8928.57,0.0,0.0,MARIE FOR CONGRESS
finance/Democrat/Jared Golden,9be48a5,4430.0,0.0,0.0,COMMITTEE TO ELECT JARED GOLDEN
finance/Democrat/Daniel Goldman,8c17057,2700.0,0.0,1000.0,DAN GOLDMAN FOR NEW YORK
finance/Democrat/Alexis Goldstein,e6d0d1e,250.0,250.0,0.0,GOLDSTEIN FOR MARYLAND
finance/Democrat/Julie Gonzales,7fa345a,1125.0,0.0,0.0,JULIE FOR COLORADO
finance/Democrat/Angela Gonzales-Torres,500f9b9,3300.0,0.0,0.0,ANGELA FOR CA34
finance/Democrat/Vicente Gonzalez,cc7bf77,11000.0,250.0,0.0,VICENTE GONZALEZ FOR CONGRESS
finance/Democrat/Maggie Goodlander,0e9578e,250.0,0.0,0.0,MAGGIE FOR CONGRESS
finance/Democrat/Adam C. Gray,ebf3840,12347.1,5250.0,0.0,ADAM GRAY FOR CONGRESS
finance/Democrat/Leela J Gray,0770f74,1000.0,0.0,0.0,LEELA J GRAY FOR CONGRESS INC
finance/Democrat/Amanda Marie Green,a2fb1e2,500.0,0.0,0.0,AMANDA MARIE GREEN FOR CONGRESS
finance/Democrat/Adelita Grijalva,29613a8,250.0,0.0,0.0,LA GENTE FOR GRIJALVA
finance/Democrat/Martha Guerrero,60b9e1f,600.0,0.0,0.0,MARTHA GUERRERO FOR CONGRESS
finance/Democrat/Heidi Hall,08928e3,4300.0,0.0,0.0,HEIDI HALL FOR CONGRESS
finance/Democrat/Adam Hamawy,072db56,1800.0,0.0,0.0,HAMAWY FOR NEW JERSEY
finance/Democrat/Josh Harder,06f3499,56262.15,6350.0,200.0,JOSH HARDER FOR CONGRESS
finance/Democrat/Dr. Kimberly Hardy,9c54b85,500.0,0.0,0.0,KIMBERLY HARDY FOR CONGRESS
finance/Democrat/Shawn Harris,93cb331,4131.78,0.0,0.0,SHAWN HARRIS FOR CONGRESS
finance/Democrat/Robert J Harvie,f98f33e,15619.01,0.0,0.0,BOB HARVIE FOR CONGRESS
finance/Democrat/Margaret Wood Hassan,e62bda4,11840.0,300.0,0.0,MAGGIE FOR NH
finance/Democrat/Frederick Haynes III,43dfb68,1000.0,0.0,0.0,HAYNES FOR CONGRESS
finance/Democrat/Martin Heinrich,eef4e1f,5600.0,0.0,0.0,MARTIN HEINRICH FOR SENATE
finance/Democrat/Dan Helmer,99d43f6,7500.0,0.0,0.0,HELMER FOR CONGRESS
finance/Democrat/John W. Hickenlooper,fefb681,15505.0,0.0,0.0,HICKENLOOPER FOR COLORADO
finance/Democrat/Jim Himes,763858b,7000.0,0.0,0.0,HIMES FOR CONGRESS
finance/Democrat/Christina Hines,81d6f30,300.0,0.0,0.0,CHRISTINA FOR CONGRESS
finance/Democrat/Thien Ho,c3d0b05,4000.0,0.0,0.0,THIEN HO FOR CONGRESS
finance/Democrat/Dr. Kristin A Hook,54f8047,1250.0,0.0,0.0,DR. KRISTIN HOOK FOR CONGRESS
finance/Democrat/Steven Alexzander Horsford,d343fc1,10216.65,0.0,0.0,NEVADANS FOR STEVEN HORSFORD
finance/Democrat/Chuck Hubbard,d6133ee,1500.0,0.0,0.0,CHUCK HUBBARD FOR CONGRESS
finance/Democrat/Jared Huffman,28ceae1,9459.0,0.0,0.0,HUFFMAN FOR CONGRESS
finance/Democrat/Evan Hunt,a098eff,1275.0,0.0,0.0,ELECT EVAN HUNT
finance/Democrat/Khai-Hoan Huynh,49e9787,500.0,0.0,0.0,HOAN FOR 9
finance/Democrat/Jacqui V Irwin,7dca240,2500.0,0.0,0.0,JACQUI IRWIN FOR CONGRESS
finance/Democrat/Rakhi Israni,f831f87,14000.0,0.0,0.0,RAKHI ISRANI FOR CONGRESS
finance/Democrat/Glenn Frederick Ivey,1645d66,1000.0,0.0,0.0,GLENN F. IVEY FOR CONGRESS
finance/Democrat/Sara Jacobs,42171eb,250.0,0.0,0.0,SARA JACOBS FOR CONGRESS
finance/Democrat/Lindsay James,f7c9da3,7404.17,0.0,0.0,LINDSAY FOR IOWA
finance/Democrat/Pramila Jayapal,8e6a52a,3340.0,0.0,180.0,PRAMILA FOR CONGRESS
finance/Democrat/Hakeem Jeffries,efb99b1,8313.0,0.0,0.0,JEFFRIES FOR CONGRESS
finance/Democrat/Jennifer Jenkins,69973d4,1000.0,0.0,0.0,JENNIFER JENKINS FOR U.S. CONGRESS
finance/Democrat/Jacob Johnson,a5e08bb,300.0,250.0,0.0,JAKE JOHNSON FOR CONGRESS
finance/Democrat/Julie Johnson,d095c90,1300.0,0.0,0.0,JULIE JOHNSON FOR CONGRESS
finance/Democrat/Eric Jones,b1c75bb,38700.0,0.0,0.0,ERIC JONES FOR CONGRESS
finance/Democrat/Jamie Joyce,dfc7ee3,4000.0,0.0,0.0,JAMIE JOYCE FOR CONGRESS
finance/Democrat/Sydney Kamlager-Dove,0632894,250.0,0.0,0.0,SYDNEY KAMLAGER-DOVE FOR CONGRESS
finance/Democrat/Hon. Marcy Kaptur M.C.,c545033,7594.98,250.0,0.0,KAPTUR FOR CONGRESS
finance/Democrat/Alexander George Kelloff,4bb105c,4350.0,0.0,0.0,ALEX KELLOFF FOR COLORADO
finance/Democrat/Mark Kelly,bf986e7,32030.5,2278.0,140.0,MARK KELLY FOR SENATE
finance/Democrat/Robin Kelly,0641872,750.0,0.0,0.0,ROBIN KELLY FOR SENATE
finance/Democrat/Joseph Kerr,dcc9461,7000.0,0.0,0.0,JOE KERR FOR CALIFORNIA
finance/Democrat/Lisa Vedernikova Khanna,ed1b08b,250.0,0.0,0.0,LISA FOR VIRGINIA
finance/Democrat/Rohit Khanna,6f9e4a6,63366.0,0.0,7000.0,RO FOR CONGRESS INC
finance/Democrat/Jessica Willow Killin,d3797a8,0.0,50.0,0.0,KILLIN FOR COLORADO
finance/Democrat/Andy Kim,001f179,1250.0,0.0,0.0,ANDY KIM FOR NEW JERSEY
finance/Democrat/Melat Kiros,76dd80e,1250.0,0.0,0.0,KIROS FOR CONGRESS
finance/Democrat/Dan Kleban,81e1cea,1000.0,0.0,0.0,DAN KLEBAN FOR US SENATE
finance/Democrat/Amy Klobuchar,1b3ae97,426.0,0.0,0.0,KLOBUCHAR FOR MINNESOTA
finance/Democrat/Daniel Arrigg Koh,9f74e38,8500.0,0.0,0.0,COMMITTEE TO ELECT DAN KOH
finance/Democrat/Raja Krishnamoorthi,a6136ba,84650.0,0.0,0.0,RAJA FOR ILLINOIS
finance/Democrat/Nancy Lacore,ed01ed4,375.0,0.0,0.0,NANCY LACORE FOR CONGRESS
finance/Democrat/Mr. Brad Lander,827a2f7,49050.0,0.0,0.0,LANDER FOR CONGRESS
finance/Democrat/Greg Landsman,0be768c,1891.66,0.0,0.0,LANDSMAN FOR CONGRESS
finance/Democrat/Oliver Adams Larkin,a0a5625,300.0,0.0,0.0,OLIVER FOR CONGRESS
finance/Democrat/George Latimer,a075850,495.0,0.0,0.0,GEORGE LATIMER FOR CONGRESS
finance/Democrat/Eileen Laubacher,d152069,3325.02,75.0,0.0,EILEEN FOR COLORADO
finance/Democrat/William Lawrence,5116a07,1500.0,0.0,0.0,FRIENDS OF WILLIAM LAWRENCE
finance/Democrat/Summer Lee,e4a13d5,4450.03,0.0,330.0,SUMMER LEE FOR CONGRESS
finance/Democrat/Susie Lee,15cc3db,4000.0,0.0,0.0,SUSIE LEE FOR CONGRESS
finance/Democrat/James Leuschen,bfd0453,0.0,1100.0,0.0,LEUSCHEN FOR CONGRESS
finance/Democrat/Mike Levin,730a782,4700.0,0.0,0.0,MIKE LEVIN FOR CONGRESS
finance/Democrat/Jake Levine,a9d80f4,10100.0,1250.0,1000.0,JAKE LEVINE FOR CONGRESS
finance/Democrat/Sam T. Liccardo,94dc20d,2500.0,0.0,0.0,LICCARDO FOR CONGRESS
finance/Democrat/Ted Lieu,f62ec80,21000.0,0.0,0.0,TED LIEU FOR CONGRESS
finance/Democrat/Zoe Lofgren,317f343,1225.0,0.0,0.0,LOFGREN FOR CONGRESS
finance/Democrat/Ben Ray Lujan,70c9f30,1490.0,0.0,0.0,PEOPLE FOR BEN
finance/Democrat/Elaine Luria,1958cc1,2600.0,250.0,0.0,ELAINE LURIA FOR CONGRESS
finance/Democrat/Tamika Lyles,85cf3b1,196.0,0.0,0.0,LYLES FOR CONGRESS
finance/Democrat/Matthew Maasdam,25d8c3a,6495.45,0.0,0.0,MATT MAASDAM FOR CONGRESS
finance/Democrat/Paul Maddox,dbb944a,500.0,0.0,0.0,HELLBENDER ACTION FUND
finance/Democrat/Tom Malinowski,48d1c76,9000.0,0.0,0.0,MALINOWSKI FOR NEW JERSEY
finance/Democrat/John W Mannion,54980f7,1500.0,0.0,0.0,MANNION FOR NEW YORK
finance/Democrat/Karishma Manzur,766a3dd,500.0,0.0,0.0,KARISHMA FOR SENATE
finance/Democrat/Sen. Edward Markey,2671d23,7000.0,0.0,0.0,THE MARKEY COMMITTEE
finance/Democrat/Mr. Isaiah Martin,8cd7090,100.0,0.0,0.0,ISAIAH MARTIN FOR CONGRESS
finance/Democrat/Trey Martin,7a1d0e4,3500.0,0.0,0.0,TREY MARTIN FOR CONGRESS
finance/Democrat/Michael Masuda,206b8fe,875.0,0.0,0.0,MICHAEL MASUDA FOR CONGRESS
finance/Democrat/Doris Matsui,9319647,1000.0,250.0,0.0,MATSUI FOR CONGRESS
finance/Democrat/Bajun Mavalwalla,261c0ce,115.0,0.0,0.0,FRIENDS OF BAJUN
finance/Democrat/Ben Mcadams,cbb4363,625.0,0.0,0.0,FRIENDS OF BEN MCADAMS
finance/Democrat/Sarah Elizabeth Mcbride,5f1e201,3899.65,0.0,0.0,MCBRIDE FOR DELAWARE INC.
finance/Democrat/Sean Mccann,04ccca8,17276.15,250.0,0.0,SEAN MCCANN FOR CONGRESS
finance/Democrat/Kristen Mcdonald Rivet,942519b,15828.58,200.0,0.0,KRISTEN FOR MICHIGAN
finance/Democrat/Amy Mcgrath,a46fd10,750.0,0.0,0.0,AMY MCGRATH FOR SENATE
finance/Democrat/Mike Mcguire,6e1321b,3912.5,500.0,0.0,MIKE MCGUIRE FOR CONGRESS
finance/Democrat/Lamonica Mciver,34728b2,450.0,450.0,250.0,LAMONICA MCIVER FOR CONGRESS
finance/Democrat/Donavan Mckinney,a295144,729.17,0.0,0.0,DONAVAN MCKINNEY FOR CONGRESS
finance/Democrat/Mallory Mcmorrow,78b25a6,43585.0,250.0,0.0,MCMORROW FOR MICHIGAN
finance/Democrat/Gregory W. Meeks,e444f3b,26000.0,0.0,0.0,FRIENDS FOR GREGORY MEEKS
finance/Democrat/Analilia Mejia,b18a87a,5720.0,0.0,0.0,ANALILIA MEJIA FOR NEW JERSEY
finance/Democrat/Anabel Mendoza,e18f6a6,250.0,0.0,0.0,ANABEL FOR CONGRESS
finance/Democrat/Joanna Mendoza,ce0f218,16458.34,833.34,0.0,MENDOZA FOR CONGRESS
finance/Democrat/Christian Menefee,fd5485a,2500.0,0.0,0.0,CHRISTIAN D MENEFEE FOR CONGRESS
finance/Democrat/Jeffrey Alan Merkley,e7bfa69,25256.0,0.0,0.0,JEFF MERKLEY FOR OREGON
finance/Democrat/Adam Clay Miller,88aa52d,700.0,0.0,0.0,MILLER FOR AMERICA
finance/Democrat/Janet Trafton Mills,eabcffc,20080.0,0.0,0.0,MILLS FOR MAINE
finance/Democrat/Dave Min,ace3492,17100.0,0.0,7000.0,DAVE MIN FOR CONGRESS
finance/Democrat/Aishwarya Mitra,a7c4e0b,0.0,0.0,10.0,SPARKY MITRA FOR CONGRESS
finance/Democrat/Kelly Louise Morrison,5115089,150.0,0.0,0.0,MORRISON FOR CONGRESS
finance/Democrat/Jared Moskowitz,65d2318,629.0,250.0,0.0,JARED MOSKOWITZ FOR CONGRESS
finance/Democrat/Seth Moulton,5930604,10100.0,0.0,0.0,"SETH FOR MASSACHUSETTS, INC"
finance/Democrat/Frank J. Mrvan,2819671,7000.0,0.0,0.0,MRVAN FOR CONGRESS
finance/Democrat/Hector Daniel Mujica,12db45b,250.0,0.0,0.0,HECTOR MUJICA FOR CONGRESS
finance/Democrat/Hector Daniel Mujica,12db45b,5500.0,1576.0,0.0,HECTOR MUJICA FOR FLORIDA
finance/Democrat/Kevin Mullin,b89224c,400.0,0.0,0.0,KEVIN MULLIN FOR CONGRESS
finance/Democrat/Christopher S Murphy,b2c7c23,4133.0,0.0,0.0,FRIENDS OF CHRIS MURPHY
finance/Democrat/Erik Murray,968e840,300.0,0.0,0.0,ERIK MURRAY FOR KANSAS
finance/Democrat/Joseph Neguse,5b4883d,250.0,0.0,0.0,JOE NEGUSE FOR CONGRESS
finance/Democrat/Reilly Neill,d0466ae,250.0,0.0,0.0,REILLY FOR MONTANA
finance/Democrat/Jena Nelson,1702f22,300.0,0.0,0.0,JENA NELSON FOR CONGRESS
finance/Democrat/Jonathan Michael Nez,55e0b91,11101.23,0.0,0.0,JONATHAN NEZ FOR CONGRESS
finance/Democrat/Alexandria Ocasio-Cortez,7fccaf8,40118.87,1758.0,1572.49,ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS
finance/Democrat/Richard N. Ojeda,d4e919b,3925.0,0.0,0.0,OJEDA FOR NC
finance/Democrat/Ilhan Omar,bf5a3b1,7374.61,0.0,1435.6,ILHAN FOR CONGRESS
finance/Democrat/T. Jonathan Ossoff,384d63f,108709.3,9206.82,515.0,JON OSSOFF FOR SENATE
finance/Democrat/James Osyf,12be4ce,250.0,0.0,0.0,JAMES OSYF FOR CONGRESS
finance/Democrat/Alex Padilla,4f4bfb0,213.0,0.0,0.0,ALEX PADILLA FOR SENATE
finance/Democrat/Frank Pallone Jr.,1bdbf8c,14000.0,0.0,0.0,PALLONE FOR CONGRESS
finance/Democrat/Dr. Richard Pan,ec386de,7000.0,0.0,0.0,DR. RICHARD PAN FOR CONGRESS
finance/Democrat/Chris Pappas,a987f0c,11355.0,250.0,0.0,CHRIS PAPPAS FOR SENATE
finance/Democrat/Justin J. Pearson,e467356,2250.0,0.0,0.0,THE COMMITTEE TO ELECT JUSTIN J. PEARSON
finance/Democrat/Timothy Peck,53db81f,250.0,0.0,0.0,TIM PECK FOR CONGRESS
