Name,Geoloc,Pinned
ABSI Aerospace and Defense,"38.3125644, -76.5506331",
Absolute Medical Response,"-33.7635245, 150.8080462",
AbSPORU,"51.06663649999999, -114.1334363",
Abu Dhabi Investment Authority,"24.4860861, 54.3514382",
Abundant Life,Address not found,
Abuse Recovery Ministry Services,Address not found,
Académie de formation immobilière du Québec,"46.8130816, -71.20745959999999",
Academia Cristiana Internacional,"13.7040526, -89.22981419999999",
Academia Internacional Arabe Panamena - Prueba,"9.3246264, -79.8924139",
Academian Inc. - Partner,Address not found,
Academic Innovations,"37.0953329, -113.5689165",
Academic Integrity Seminar,Address not found,
Academic Partnerships - LatAm,Address not found,
Academic Partnerships Colombia,"4.570868, -74.297333",
Academic Platforms,"38.225329, -85.5680884",
Academica,Address not found,
Academie Marie Claire,"45.443424, -73.88359539999999",
Academikast,Address not found,
Academix BEAT Lab,Address not found,
AcademiX School of Learning,"15.5753196, -61.4567733",
Academy at Palumbo,"39.939974, -75.16109639999999",
Academy Aviation Online Inc.,Address not found,
Academy For Career Education,"39.5126935, -119.774997",
Academy for Healthcare Innovation,Address not found,
Academy For Science And Design,"42.7882228, -71.5210431",
Academy for Technology and the Classics,"35.5839136, -106.0118218",
Academy for Urban Scholars,"39.96795609999999, -82.9526796",
Academy for Urban Scholars High School,"39.96795609999999, -82.9526796",
Academy for Urban Scholars Toledo,"41.6528052, -83.5378674",
Academy of Art University,"37.78626089999999, -122.3995327",
Academy of Creative Coaching,"33.9405741, -84.08279859999999",
Academy of Endoscopy,Address not found,
Academy of Integrative Health and Medicine,"32.832296, -117.276454",
Academy of Interactive Entertainment,"-35.2398369, 149.1493606",
Academy of Learning Career College,"43.8475231, -79.37708950000001",
Academy Of Math And Science Inc.,Address not found,
Academy of Media Arts,"34.054276, -118.255787",
Academy of Music - Catalog Environment,"39.94798369999999, -75.1648981",
Academy of Notre Dame De Namur,"40.0175601, -75.3700435",
Academy of Oriental Medicine,"51.5973463, 0.2409083",
Academy of Technology and Innovation at the University of Mary Washington,"38.3013039, -77.47447",
Academy of the Holy Cross,"39.0314999, -77.0997026",
Academy School District 20,"38.9917755, -104.798771",
Academy Update,Address not found,
Academy Xi,"-33.8673204, 151.2095557",
Acalanes Adult Education,"37.8761966, -122.0759888",
Acalanes Union High,"37.8730398, -122.151897",
ACBI,"-33.8796248, 151.2067721",
Accelerate Education,"33.8656803, -112.1386278",
Accelerate Learning,"29.7311851, -95.46601299999999",
Accelerate Montana,"46.8655506, -113.977118",
Accelerated Academy,"-25.3483138, 31.0252502",
Accelerated Learning Solutions,Address not found,
Accellier Education,"-30.3252883, 153.1028696",
Accenture Innovation,Address not found,
AccesLex Institute,Address not found,
ACCESS,Address not found,
Access Test,Address not found,
Access-Tech Egypt for Innovative Technology Solutions,"26.820553, 30.802498",
Accessible Information Management LLC,Address not found,
AccessLex Institute,Address not found,
Acclaim,"36.0943359, -79.8148513",
The Australasian College of Care Leadership & Management,"-27.4566927, 153.0352506",
ACCO,"32.933052, 35.082678",
Accomack County Public Schools,"37.7201179, -75.67145219999999",
Accomplishment Coaching,"32.7430639, -117.1601832",
Account Level,Address not found,
Account World Book Inc.,Address not found,
Accounting Technicians Ireland,"53.3441611, -6.248340000000001",
Accreditrust,Address not found,
ACDET,Address not found,
ACE Community Colleges,Address not found,
ACE Leadership High School (Lite),"35.1001067, -106.6612954",
Acerta,Address not found,
ACES,Address not found,
ACES Technical Charter School,"35.1319039, -106.5927359",
ACG,Address not found,
Achievement Charter Academy,"35.52593, -78.812829",
Achievement House Cs,"40.0570421, -75.6465389",
Achievement Matters,"34.166614, -118.5840415",
Achievement School District,"35.1520326, -90.0141804",
Achieving the Dream,Address not found,
ACHNU,Address not found,
ACI Learning,"39.5922718, -104.8678254",
ACLT-Association of Costs Lawyer Training,Address not found,
Acme,"51.4962688, -113.5100692",
"Acorn Evaluation, Inc.",Address not found,
ACPET,Address not found,
"ACR Consulting, LLC dba eLearningDOC - Partner","40.0939044, -83.1292836",
ACSI,Address not found,
ACSI Environmental Consulting,"30.4138553, -91.0523271",
American Canadian School of Medicine,"15.5562041, -61.4587508",
ACT Learning,"45.3462272, -75.7046557",
ACT PREP,Address not found,
Actionable Insights Academy,Address not found,
Activate Learning,"51.7494805, -1.2655107",
ActiveClass,Address not found,
Actively Learn,"47.5995161, -122.3330584",
ACTU Education Inc.,Address not found,
ACU [DEV/TEST],Address not found,
ACU Learning,"32.4700922, -99.7080103",
ACU Online,"32.4700922, -99.7080103",
ACUE,Address not found,
AcuStudy,Address not found,
Adair-Casey Community School District,"41.4693492, -94.6037231",
Adams Central Public Schools,"40.5103644, -98.4184224",
Adaptive Construction Solutions,"42.1011112, -80.1192346",
Addiction Professionals of North Carolina,"35.8346856, -78.6665192",
Addison Central School District,"42.0995611, -77.3094674",
ADE,"43.134866, -0.028708",
Adelaide Institute of Business and Technology,"-34.9230627, 138.6042063",
Adelaide Institute of Higher Education,"-34.9230465, 138.6042042",
Adelaide International School,"-34.9229338, 138.6041944",
Adelaide University Root,"-34.920603, 138.6062277",
Adelaide University Root - DEV,"-34.920603, 138.6062277",
Adelanto School District,"34.6599838, -117.5026174",
Adelphi University,"40.7200034, -73.6521126",
Aden Catalog,"12.7906378, 45.01759209999999",
Aden International Business School,"18.472458, -69.9410966",
ADInstruments NZ Ltd,"-40.900557, 174.885971",
ADL,Address not found,
Adlai E Stevenson High School District 125,"42.1889631, -87.9824758",
Adler Graduate School,"44.8933926, -93.410264",
Adler University,"41.8824688, -87.6291651",
Admentum,Address not found,
Admin Training,Address not found,
Administración,Address not found,
Administrative Consultant Service,Address not found,
Administrative Office of the Courts (AOPC),Address not found,
Adobe Creative Cloud,Address not found,
ADRA,"23.4958949, 86.6762176",
Adrian College,"41.8987054, -84.05924139999999",
Adtalem Consortium Site,Address not found,
Adtalem Global Education,Address not found,
Adtec Puerto Rico,"18.4546895, -66.0810491",
Adult and Career Education of Central Virginia,"37.4315734, -78.6568942",
Adult Education,Address not found,
Advance,Address not found,
Advanced Aerial Education,"37.9283271, -122.3862541",
Advanced Behavioral Health,"33.7154453, -117.9772055",
Advanced Clinical Training,Address not found,
Advanced College,"33.9153857, -118.1578095",
Advanced Engineering Institute,"38.6898703, -121.1085797",
Advanced Rescue Education Solutions,"30.3200461, -89.77153229999999",
Advanced Security,"48.4752017, -81.3318659",
Advantage Academy,"34.1328568, -79.7709397",
Advantage Consulting and Solutions LLC,Address not found,
Advantage Surgical & Wound Care,Address not found,
Advantexe,"40.0662475, -75.306572",
AdventHealth University,"28.576203, -81.366495",
Adventist Schools Victoria,"-37.855769, 145.113498",
Adventures of (Meg)Han Solo,Address not found,
Advocates for Human Potential,Address not found,
AEA Learning Online,Address not found,
"AEATS | Early Childcare Courses, Aged Care Courses , Business Courses & more",Address not found,
AEM - Parami English Language Initiative,Address not found,
AEMG,"-37.8259714, 145.0986128",
AEMGdemo,Address not found,
Aeon Consulting Group,"48.2350033, 16.3482291",
AERES HOGESCHOOL,"52.3565833, 5.2231975",
Aeries (DataSync GPB Testing),Address not found,
Aeries Software - Partner,"33.77562959999999, -117.8924477",
Aesa Prep Academy,"30.1986843, -98.00539549999999",
Aethron Solutions LLC,Address not found,
AF Accelerate,Address not found,
Affton Schools,"38.5580845, -90.3277829",
AFOA,Address not found,
AFPA,Address not found,
Africa CDC Institute for Workforce Development,Address not found,
African Bible Colleges,"-13.9643881, 33.7426922",
African Leadership Academy,"-26.0745156, 27.9164916",
African Leadership International,Address not found,
After School Matters,Address not found,
AFYA - PROCESSOS SELETIVOS,Address not found,
AFYA EDUCACIONAL,Address not found,
Agència de Ciberseguretat de Catalunya,"41.5911589, 1.5208624",
AGA,"37.6762219, 139.4570033",
Agadir,"30.4280405, -9.5925444",
Agape Apostolic Equipping and Training,"39.8684969, -86.2451243",
Agape Schools,"36.7810742, -119.7685256",
Agent QA,Address not found,
Agent Team SYD,Address not found,
Aggie Academy,"36.1135312, -79.7465594",
"Agilix Labs, Inc.","40.3249425, -111.6776613",
Agnes Irwin School,"40.0286888, -75.3501028",
Agnes Scott College,"33.7685056, -84.29453459999999",
Ago Inversiones,"21.0208676, -89.6034071",
AHCA,Address not found,
Ahi University,Address not found,
AHIMA HCPro,Address not found,
AI Learning Programs,Address not found,
AI Learning Programs Pty Ltd,Address not found,
AIBI,Address not found,
AICC,Address not found,
AIE Institute,"-33.8822856, 151.1959017",
AIEP,"-33.5091177, -70.7579542",
AIESEC,Address not found,
AIIHE,"-27.4673838, 153.0235096",
AIM Academy (Academy in Manayunk),"40.0260015, -75.2231106",
Aim Academy Online,Address not found,
AIMC,"31.4880631, 74.29765979999999",
AIMM,"40.1401135, -82.9790525",
AIMS Center (UW),"47.6565919, -122.3126783",
Ainsley's Angels of America,Address not found,
Ainsworth Community Schools,"42.4720301, -99.70097539999999",
Aiona Report,Address not found,
Aiona Test,Address not found,
Air Force Services Center,Address not found,
Air Rescue College — Christophorus Flugrettung (ÖAMTC Air Rescue),Address not found,
AIR4VR Pre ETS Training Program,Address not found,
Airdrie Christian Academy,"51.306647, -114.010333",
AIRSTAGE University,Address not found,
"Airstreams Renewables, Inc.","35.1073455, -118.3741302",
AIS NSW,"-31.2532183, 146.921099",
Aisera,"37.406437, -121.980323",
Aitkin Public School District,"46.5336483, -93.700108",
AJ Tutoring Inc.,Address not found,
AJAC Training,Address not found,
Ajyal ESE Schools,Address not found,
AK Grad,"64.8359152, -147.8269447",
Akademie Schneller Karriere GmbH,"48.81583639999999, 9.256974699999999",
Akademiet,"55.6960536, 12.5446903",
Akademos Inc,"41.1046813, -73.4321346",
Akdmic,Address not found,
AKFA University,"41.2966636, 69.2389608",
Akindi,"43.6461084, -79.3998355",
Al Akhawayn University,"33.5387357, -5.1059503",
AL Health Concierge,Address not found,
Al Nafi International College,"24.929093, 67.1036578",
Al Raby High School,"41.8861417, -87.7153641",
Al Salaam Academy,"39.2777739, -76.85769510000002",
Al Siraat College,"-37.624417, 145.0375382",
Al Zahra College,"-33.932667, 151.1486124",
Al-Amal Online Academy,Address not found,
Al-Huda School,"39.014832, -76.911458",
Al-Mahdi Institute,"52.4560961, -1.8858779",
Al-Nahda International School Riyadh,"24.7351054, 46.7601886",
ALA - Charlotte,"35.2049751, -80.8389033",
ALA - Coastal,"34.312322, -77.7671696",
ALA - Johnston,"35.562614, -78.3910773",
ALA Lexington,"33.9652207, -81.22993559999999",
ALA Monroe,"34.9825187, -80.58598099999999",
Alabama A & M University,"34.78384090000001, -86.5722237",
Alabama Bankers Association,"32.378064, -86.30562850000001",
Alabama Board Of Dental Examiners,"33.4001813, -86.7891362",
Alabama Board Of Dental Examiners (duplicate),"33.4001813, -86.7891362",
Alabama College of Osteopathic Medicine,"31.2060765, -85.3410797",
Alabama Community College System,"32.375779, -86.2993753",
Alabama Institute for Deaf and Blind,"33.4329768, -86.0982506",
Alabama Leaders in Educational Technology,"32.3182314, -86.902298",
Alabama School of Cyber Technology & Engineering,"34.7251201, -86.655853",
Alabama Southern Community College,"31.4891556, -87.3256218",
Alabama State Department of Education,"32.3182314, -86.902298",
Alabama State University,"32.3626319, -86.2934411",
Alabama Technology Network,Address not found,
Alachua County Public Schools,"29.6579549, -82.3017728",
Alachua County SOE,"29.6562625, -82.3247344",
Alamance Community College,"36.066108, -79.357563",
Alamance-Burlington School District,"36.0117388, -79.4253776",
Alameda County Office of Education,"37.6585991, -122.0983703",
Alamein International University,"30.8171672, 28.9291118",
Alamo Colleges,Address not found,
Alamogordo Public Schools,"32.1804825, -105.6881788",
Alaquest,"33.3443369, -86.7985218",
Alaska,"63.588753, -154.4930619",
Alaska Career College,"61.1811544, -149.8568637",
Alaska Council of School Administrators,"58.30210830000001, -134.4069583",
Alaska Digital Academy,"55.3534308, -131.677921",
Alaska Gateway School District,"63.5626998, -142.3006158",
Alaska Housing Finance Corporation,"63.588753, -154.4930619",
Alaska Primary Care Association,"61.1921218, -149.886073",
Alaska Staff Development Network/Alaska Council of School Administrators,"58.30210830000001, -134.4069583",
ALBA Executive Development & Applied Research in Business Administration,Address not found,
Albany College of Pharmacy and Health Sciences,"42.6521957, -73.7788392",
Albany College of Pharmacy and Health Sciences,"42.6521957, -73.7788392",
Albany County School District #1,"41.638448, -105.5943388",
Albany Law School,"42.65134690000001, -73.77703199999999",
Albany Unified School District,"37.8902717, -122.295914",
Albeda College,Address not found,
Albemarle County Public Schools,"38.0567092, -78.6114999",
Albert Einstein Academy Charter School,"32.7197978, -117.1305179",
Albert Einstein College of Medicine,"40.8504961, -73.8459022",
Albert Gallatin School District,"39.8171059, -79.7848422",
Albert.io,Address not found,
Alberta College of Aeronautics,"53.426508, -113.108088",
Alberta Distance Learning Centre,"54.1371622, -114.3961614",
Albertus Magnus College,"41.3316093, -72.9226957",
Albizu University,"18.4663977, -66.1139487",
Albright College,"40.363518, -75.9106812",
Albrix,Address not found,
Albuquerque Academy,"35.151977, -106.5519944",
Albuquerque Bilingual Academy,"35.1100966, -106.7245192",
Albuquerque Charter Academy (Lite),"35.0862917, -106.642533",
Albuquerque Collegiate CS (Lite),"35.0843859, -106.650422",
Albuquerque Institute Of Math & Science (Lite),"35.0707337, -106.6331693",
Albuquerque Public Schools (Lite),"35.0177854, -106.6291304",
Albuquerque School of Excellence (Lite),"35.0869015, -106.4988747",
Albuquerque Sign Language Academy (Lite),"35.1310491, -106.640609",
Albuquerque Talent Development Secondary Charter School (Lite),"35.0843859, -106.650422",
Alcaldia de Santiago de Cali,"3.4516467, -76.5319854",
Alcidion,Address not found,
Alcorn School District,"34.810186, -88.59517509999999",
Alcorn State University,"31.8741511, -91.1365733",
Alder Graduate School of Education,"37.4861803, -122.2391519",
Aldine ISD,"29.9341866, -95.37301760000001",
Aldo Leopold Charter School,"32.7765769, -108.2819595",
Aledo ISD,"32.6890006, -97.63311300000001",
Alef Trust CIC,Address not found,
Aleph Holding,Address not found,
Aleph Null LLC,"35.7487795, -81.6649465",
ALET,"42.995035, 2.2574139",
Aleut Community of St. Paul Island,"57.12193850000001, -170.2802808",
Aleutians East Borough School District,"55.3377563, -162.1282225",
Alexa U,Address not found,
Alexander Academy,"42.5875668, -71.76928560000002",
Alexander College,"49.2275674, -122.9961685",
Alexander County Schools,"35.8974199, -81.20781640000001",
Alexander Dawson School,"40.0614886, -105.1066309",
Alexandria City Public Schools,"38.8173434, -77.067959",
Alexandria Community School Corporation,"40.2696425, -85.6815225",
Alexandria Township,"40.56616169999999, -75.029158",
Alexis University,Address not found,
Alfa Centauri,"-6.9014734, 107.6242463",
Alfaisal Extension,"24.6631199, 46.6768473",
Alfred University,"42.2551888, -77.78583250000001",
Algiers Charter Network,"29.9282652, -90.0273562",
Alice King Community School (APS charter school),"35.0913543, -106.556945",
Alice L. Walton School of Medicine,"36.3824204, -94.19706769999999",
Alice Lloyd College,"37.3359167, -82.8735944",
Alief ISD,"29.6947115, -95.5827334",
Aligned eLearning,Address not found,
Alkimi AI,Address not found,
All American Leadership,Address not found,
All Dorsey Colleges,Address not found,
All HU,Address not found,
All Prints,Address not found,
All Saints Catholic School,"37.672306, -122.0762553",
"All Saints College, Bullcreek","-32.0512991, 115.8667855",
All Saints Grammar School,"-33.9296184, 151.0953225",
All Saints University School of Medicine,"15.299863, -61.387956",
All Skills College,"-33.93177, 151.0445385",
All the Ducks,Address not found,
Allamakee Community School District,"43.2822267, -91.4048249",
Allan Hancock College,"34.9446133, -120.4189337",
Allapattah Wynwood School,"25.8003154, -80.22655449999999",
AllCampus,"41.8799476, -87.6347006",
Alleghany County  Public Schools,"37.8531975, -80.0534923",
Alleghany County Schools,"36.4940839, -81.1196075",
Alleghany Highlands Public Schools,"37.8531975, -80.0534923",
Allegheny College,"41.6491394, -80.1477534",
Allegheny Intermediate Unit 3,"40.4137261, -79.9088628",
Allegiance Mobile Health,"27.7962828, -97.3919262",
Allen Academy,"30.670848, -96.3158761",
Allen Community College,"37.93847340000001, -95.39629149999999",
Allen Consolidated Schools,"42.4440555, -96.85654269999999",
Allen ISD,"33.113949, -96.6745042",
Allen Parish School Board,"30.5887484, -92.8577105",
Allen University,"34.0107328, -81.02025259999999",
Allen-Stevenson School,"40.7742851, -73.95987149999999",
Allendale Columbia School,"43.11760899999999, -77.5387597",
Alleo,Address not found,
Alliance College-Ready Public Schools,"34.078001, -118.215701",
Alliance Dental Care LTD,"51.8887386, -0.2044368",
Alliance for Decision Education,"40.0051705, -75.2199611",
Alliance Manchester Business School - University of Manchester,"53.4673817, -2.2374284",
Alliance of Hispanic Serving Research Universities,Address not found,
Alliance Public Schools,"41.9553434, -102.7594847",
Alliance University,"40.7056552, -74.0156299",
Alliant,Address not found,
Alliant International University - Continuing Education (Catalog),"34.0838938, -118.1507971",
Allied Health Career Training,"37.683717, -97.354658",
Allied Health Institute,"29.5329102, -98.5656293",
ALLM,Address not found,
Alma,"48.5504607, -71.6527704",
Alma College,"43.3792098, -84.6715735",
Alma d'Arte Charter High School,"32.3115959, -106.783864",
Almentor,Address not found,
ALP,"42.3728449, 1.886116",
Alpena Public Schools,"45.0468373, -83.6280892",
Alpena-Montmorency-Alcona ESD,"45.046, -83.45200299999999",
Alpes Escuela de Imagen y Comunicación,"46.8873983, 9.6567822",
Alpha School of Massage,"30.2819568, -81.7254301",
Alpha Trainer University,Address not found,
Alphabet Education,"41.9125265, 12.4620466",
ALPHONSUS ACADEMY,"41.935808, -87.665523",
Alpine Academy,"28.6649568, -81.2220978",
Alpine County Office Of Education,"38.766357, -119.8088535",
Alpine Path Academy,Address not found,
Alpine School District,"40.333701, -111.9522491",
Alpine School District Dev,"40.333701, -111.9522491",
Alpine School District PD,"40.333701, -111.9522491",
Alpine Union Elem Sch Dist,"32.83630900000001, -116.7260713",
Alsea School District 7J,"44.3578119, -123.6415716",
Alta Vista School,"36.0584286, -118.9656185",
Alta-1 College,"-31.7516896, 115.7651045",
Alta-1 College (QLD) Ltd.,"-22.575197, 144.0847926",
Altera Labs,Address not found,
Alteristic,"38.7715511, -77.1329425",
Alternative Education,Address not found,
Altura Preparatory School,"35.1839774, -106.5484946",
Altus Schools,"32.9027677, -117.1841882",
ALU Education,"-20.1020126, 57.5624306",
Alumia Educação,"-23.530136, -46.6745432",
Alvarado ISD,"32.3995508, -97.2005806",
Alvernia University,"40.3113979, -75.93165549999999",
Alverno College,"42.9826875, -87.9647569",
Alvin Ailey American Dance Theater,"40.7669775, -73.9868935",
Alvin Community College,"29.396337, -95.240639",
Alvord ISD,"33.357879, -97.6765157",
Alyxia,Address not found,
AMA University,"14.665306, 121.0125244",
Amador County Unified School District,"38.4092417, -120.6660044",
Amarillo Independent School District,"35.2015494, -101.8435568",
Amazon,Address not found,
Amazon Aus,"-25.274398, 133.775136",
Amazon Entertainment,Address not found,
Amazon Inspire,Address not found,
Amazon Seattle,"47.615728, -122.3395104",
Amazon Technical Academy,Address not found,
Amazon Testing,Address not found,
Ambassador Christian Schools,"35.4483203, -80.8299755",
Ambassador Education Solutions,Address not found,
Ambassador Enterprises,"41.1851402, -85.0934345",
Ambi,"18.7597521, 73.6793734",
Ambition Institute,Address not found,
Ambition Staff,Address not found,
AmbitionSchool,"25.3089706, 83.0576596",
Ambria College of Nursing,"42.0755934, -88.2109258",
AMDA,"22.173383, 73.074469",
AMDN,Address not found,
AME Learning Inc.,"43.664227, -79.4561636",
Ameelio,Address not found,
Amelia County Public Schools,"37.3212714, -77.973865",
America Needs You,"40.7097633, -74.0078967",
America's Future,"38.9090532, -77.0426437",
America's Little Leaders,"30.3902182, -81.683098",
"American Academy Holdings, LLC",Address not found,
American Academy of Art College,"41.8771075, -87.6251185",
American Academy of Dramatic Arts,"40.7455566, -73.9848047",
American Academy of Innovation,"40.5569534, -112.0202161",
American Airlines,Address not found,
American Apprenticeships.work,"38.7945952, -106.5348379",
American Association of Colleges of Osteopathic Medicine,Address not found,
American Association of Collegiate Registrars and Admissions Officers (AACRAO),Address not found,
American Association of Public Health Dentistry (AAPHD),"39.7587264, -89.6100811",
American Association of University Women,Address not found,
American Baptist College,"36.20237729999999, -86.7899551",
American Book Company,"34.0933257, -84.493304",
American Business Data Science,"38.7945952, -106.5348379",
American Cancer Society,Address not found,
American Career College,"34.0793219, -118.2925142",
American Certification Institute,Address not found,
American Classical Charter Academy,"28.2373561, -81.245666",
American College of Education,"39.7696979, -86.16022579999999",
American College of Healthcare,"33.9015736, -117.4935509",
American College of Healthcare Sciences,"45.4868996, -122.6758546",
American College of Radiology,Address not found,
American College of Veterinary Nephrology and Urology,Address not found,
American Cooperative School of Tunis,"36.8520514, 10.2700985",
American Councils for International Education,"38.903489, -77.04303",
American Councils for the Middle East,"29.2985278, 42.5509603",
American Cruise Lines,Address not found,
American Dairy Products Institute,"41.9009205, -87.9417933",
American Diploma Pathway - ACC/GHS,Address not found,
"American Electric Power Company, Inc.","39.9195682, -82.8411522",
American Film Institute,"34.1075984, -118.3099625",
American Fire Sprinkler Association,"32.9965538, -96.6974817",
American Geophysical Union,Address not found,
American Health Connection,"34.0646081, -118.3756414",
American Healthcare Documentation Professionals Group,"42.2767995, -71.7271688",
American Healthcare Institute,"26.7578201, -80.0611322",
American Heritage School - Salt Lake City,"40.7744264, -111.8953784",
American Heritage School Online Courses,"26.1205009, -80.3108164",
American Institute,Address not found,
American Institute for Foreign Study (UK) Ltd,"51.4976895, -0.179919",
American Institute of Medical Sciences & Education,"40.56115459999999, -74.43737569999999",
American institute of Non-Destructive Testing,"46.3242601, -94.2061841",
American International College,"42.1127164, -72.5584133",
American International School of Guangzhou,"23.108501, 113.303719",
American Jewish University,"34.1263884, -118.4725275",
American Jewish University - Catalog,"34.1263884, -118.4725275",
American Language Academy,"40.432109, -3.7074598",
American Language Center,"40.1213392, -75.03909620000002",
American Leadership Academy,"33.2328936, -111.6539993",
American Leadership Academy Inc.,"40.0965943, -111.6700408",
American Medical Academy,"25.6627128, -80.3933066",
American Medical Sciences Center,Address not found,
American Montessori Society,Address not found,
American National University,Address not found,
American Osteopathic Board of Dermatology,Address not found,
American Preparatory Academy,"26.0601308, -80.259618",
American Psychological Association,Address not found,
"American Public Education, Inc. (APEI)",Address not found,
American Red Cross,Address not found,
American Renaissance School,"38.7945952, -106.5348379",
American School for the Deaf Online Academy,"41.7710512, -72.74734699999999",
American School Foundation of Monterrey,"25.659694, -100.4463857",
American School of Las Palmas,"28.0406976, -15.445444",
American Sentinel University,"39.6733289, -104.8700844",
American Society of Interior Designers (ASID),Address not found,
American Spaces,Address not found,
American Sterling University,"38.7945952, -106.5348379",
American Tamil Academy,Address not found,
American Technical Publishers - Partner,"41.55563350000001, -87.86454979999999",
American Thoracic Society,"40.7056522, -74.01374419999999",
American University - DC,"38.9380155, -77.088922",
American University in Bulgaria,"42.011889, 23.094732",
American University Kyiv,"50.4589669, 30.5269695",
American University of Afghanistan,"34.4698636, 69.1245838",
American University of Antigua,"17.1561272, -61.7975807",
American University of Bahrain,"26.1008012, 50.5480834",
American University of Health Sciences,"33.796855, -118.171374",
American University of Iraq Baghdad,"33.278658, 44.2711754",
American University of Phnom Penh,"11.6160001, 104.9009457",
American University of Sharjah,"25.3115602, 55.49265029999999",
American University of St. Vincent,"13.1654059, -61.2288465",
American University of Technology,"34.4238061, 35.8326236",
American University of Technology Review,"34.4238061, 35.8326236",
American University's School of Education (SOE),"38.9380155, -77.088922",
American Virtual Academy,"33.4775884, -112.3430042",
Americas Serviços Médicos,"38.7945952, -106.5348379",
Amerion College,"38.419781, -82.44331",
AMES,"42.0307812, -93.63191309999999",
Amherst County Public Schools,"37.5588285, -79.1096901",
Amilak Training Center,"-26.1453962, 27.8823982",
Amity Future Academy,"12.9330592, 77.6138532",
AMLFC Institute,Address not found,
Ammonia Safety Training Institute,"36.9301606, -121.7777019",
"AMOpportunities, Inc.","41.89067259999999, -87.6342521",
Amoskeag Health,"42.9964199, -71.4660688",
AMP BMLA,Address not found,
AMP Master,"-25.7528149, 28.171806",
